star,comment,target
5,老板人特别好,
5,味道不错好好好,
1,改版后全成圆角得了，让人毫无购物欲望,
4,反应没其他APP快，有时候刷老半天，总是说无网络，用其他软件就没问题，,
5,口碑挺好用的，吃喝玩乐都有，以后再也不用担心放假去哪玩了哈哈哈哈。而且也有外送，宅家里点外卖买东西也方便,
1,店是真的，但里面的评论很多都是系统刷的，图文和店对不上。让人以为这个软件很火。其实没多少人上传,
1,签到红包每次签到才一两分，签到十块钱需要一年多，就因为断签5天全部清零不公平！清零规则隐蔽在右上角一点点大的边角里，也没有做重点标记，根本不会去注意。正常人签到十块就不签了，要用了再去换，谁能想到节假日一打开来一分都没了！太恶心人了，再也不用口碑了。,
1,差评,
1,真是无语。,
1,有bug，商家页面点进去白屏,
4,首页下面4个入口移到我的里面不好？看着还简洁,
1,建议跟大众点评的页面学学 商家页面进去乱七八糟 团购活动看起来乱糟糟的,
5,还蛮好的,
1,太垃圾,
5,味道不错,
1,经常刷不出，白屏，什么垃圾,
5,好评是不是真有红包 很好吃 好好吃呀,
3,是故意还是大厂不行了？,
5,味美可口,
1,"酒店价格都比别人贵很多,开了会员优惠之后还是比美团什么的贵，怪不得朋友说垃圾，一颗星都不想给",
1,购物车简直就是垃圾，卡的一动不动，结算都没法结算,
1,口碑上的划线价格并非原价或线下门店实际销售价！\n没想到多花了时间还得多花钱。,
1,一开始签到挺多的，后来每天都是一分钱，这也太少了吧，谁有那个动力每天去签一分钱。。。起码几角吧！,
1,很奇怪的App。打开首页啥都点不了  根本不能用,
5,好,
5,比大众美团划算,
5,好,
5,方便快捷实惠。不错！,
5,继续努力，不要让我们消费者失望，很好用服务行业发展，我喜欢,
5,还可以！！！！！！！！！！！！！！！！！！！！,
1,补贴价??很便宜，付款时价格又不一样,
5,一直都好,
5,喜欢，优惠力度大,
5,口碑口碑我爱你全家，祖宗八代都爱！,
1,买了一家洗衣服的券，大冬天骑自行车四十分钟到了，实体店说不能用,
5,喜欢口碑，简单快捷方便。店内干净卫生，服务周到细致，效率高！????,
5,发掘更多的优惠券。,
1,种好了一棵树，所有水果都没有，怎么兑换？！这不是骗人嘛,
3,升级后一点都不好，首先原来0点和10点有预告，很明确主题和目标，现在这样，划算的在哪里要自己去找，可能好的券被忽略，新版面让人摸不到头脑。,
5,非常好,
1,垃圾东西广告要得多。多。,
1,大众点评都有外国的选项，为什么口碑没有？？？,
1,越来越差，越来越坑,
1,我是江苏省苏州市昆山市的某店铺老板，今日有一个自称自己是口碑的人员给我打电话是叫我加入口碑，因为我们一直都是做的别的平台的，所以没有考虑加入口碑，然后这位口碑的人员就用她的某众点评的账号给我店铺恶意差评，我多次打电话与其交涉，她不但不承认还说叫她朋友给我们店铺恶意评论，说要给我上上课，我就想知道，你们昆山口碑的人员都这么嚣张的吗？，还是全国都一样，你们这种态度是威胁我吗？，难道不加入你们口碑就在我们别的平台给我们店铺恶意差评，口碑我希望你们给我一个解释！,
5,有了口碑，喜欢的食品购买方便了，优惠活动多了，挑选的余地大了，视野也开阔了。希望口碑越办越好,
5,味道还不错,
5,店铺洁静，服务生端正可亲，可贵的是面包新鲜，??赞！,
5,很好喝，每次都来带一杯回去,
1,垃圾口碑买了的东西商家还可以改适用范围，刚买几天就变成256km外的门店才能用，你咋不上天呢？谁爱用谁用吧,
4,什么时候出HD版啊什么时候出HD版啊什么时候出HD版啊什么时候出HD版啊什么时候出HD版啊什么时候出HD版啊什么时候出HD版啊什么时候出HD版啊什么时候出HD版啊,
5,方便，便宜，宜人。,
5,入味好吃,
1,不知道这个app到底在干嘛，没事就跳广告，推荐也特别凌乱，一打开画面好花看的我头疼,
3,从列表跳转到详情页，每次都是加载3s以上。本地测速一切正常，换某点评app速度也OK。建议尽快排查一下，看是什么原因导致的。网络环境是移动宽带，dns用的还是阿里的dns……,
5,超好口,
5,好吃的东西，方便快捷，安全卫生，便宜啦我????????????????！,
5,相当漂亮！,
5,不错,
1,口碑的签到规则放在了一个小角落，不管你看到还是没看到。然后等你几天不去签到之前的签到奖励金就全部清零。感觉对用户黏性非常不在乎。跟客服沟通也是车轱辘话反复说，除了浪费人时间之外并不能提供合理的解决方案。,
1,和支付宝绑定以后消费券变成了直接扣钱，被误扣过好几次，不敢再用了，活该没上市成功,
1,套餐内的菜品，口碑店小二能给你重复上，原本价值400多的菜，硬生生给搞成了1000多的菜，事后商家找客服，找店小二，永远一句话这事情不是我负责的，问，找谁，我不清楚。商家只能自己承担损失。,
1,垃圾口碑，福建体育消费券秒没，根本没的领，还说乐动八闽，就是骗浏览量，没想到阿里旗下公司也那么差！,
5,非常好的一款平台，为广大消费者提供全方位资讯信息服务！,
3,活动不少。但是！！！做的很不专业，位置信息不全，主要体现在：\n1）搜索商场，查不到商场的店。\n我试了丁香国际和瑞安新天地（上海），像丸龟制面、张生记，很多店包括盒马，都不能通过商场进去看到。而要单独搜索店铺找得到。很不方便！\n\n2）地点分类的片区很少。根据筛选行政区查找不到对应的店。比如黄浦区k11，不能在黄浦区下找到对应片区，而很多商户已与口碑合作，但消费者看不到，搜不到。\n\n3）没有附近商圈提示。进入一家店铺后，只有店铺基础信息，而不会联想推荐店铺周边100m范围内的店。\n\n出门前提前看口碑，然而要找的东西完全找不到，需要精准搜索店铺名才有。不知道这个app的意义何在，买券找不到店，纯找吃的连地图位置都没有归类。\n\n综上，口碑是个点对点的封闭式app。根本不能展开手脚买买买！,
5,非常爽口,
5,很实惠，量也很足，口味也不错??,
1,种果树的bug有点多，给一星是希望开发者看到，果树经常页面崩溃，点不进去，需要大退再进,
5,好吃，特别是荔湾艇仔粥超级好吃，里面食材多，黑椒蒸猪肚也好吃??。我下次还会来吃。,
5,以前我都不知有口碑，这段时间口碑活动多，活动力度大，活动灵活，能随时退款，亲民公平，为口碑点赞。?????? ??????,
5,一直都很好吃,
5,Coco的忠粉，奶茶中的经典款！,
5,很好很好,
2,整合流畅度查到摔手机，一个商品有活动，买了半个小时一直转啊转，怎么取代大众点评，加油呀,
1,垃圾应用，比美团差远了,
5,汉堡好吃,
1,超级垃圾的一个软件，建议朋友们少用少来气,
1,“选商品之前必须要开启定位”，我是在为即将开始的旅游做规划，一是如果开启了定位，可以浏览的就还是本地的商品，根本看不到目的地的，二是首页左上角的那个城市选择是摆设吗？设置了也不好用，还是必须要开启定位。这个要求的设置，程序设计者是脑子进水了吗？建议好好向大众点评学习一下吧！,
1,根本就没什么优惠，真有的优惠大众点评已经有了，完全没必要下载，搞的活动垃圾的要死，压根就不优惠,
5,薅羊毛的好软件，哈哈哈,
3,可用店铺有点少,
5,大转盘能不能改的快一点，转一下要好几秒，弄到一百要好长时间。望改进,
3,技术支持太差，买的券经常因为APP的问题被重复扣款,
5,好用的平台，帮助选择,
1,垃圾软件，我在口碑上买了美邻洗衣的线上干洗套餐，上门取送，服务简直就是垃圾，客服电话打不通各种不理人，取走的衣服运送过程中运单脱落耽误洗衣时间，都快半个月了还没洗好！然后我在口碑上给差评，就写了上述内容，口碑居然说我的差评有敏感词汇不能发布！！口碑太垃圾了好吗！！！劝大家都别用！,
3,优惠活动没结束价格就变了，事前不通知,
1,太难用,
5,这里的菜很好吃。,
3,团购页面只能点加入购物车，没有商品详情页面说明，希望功能上更清晰便捷,
5,支持口碑，发展壮大,
1,付款购物车页面太垃圾了，每次选择都掉接口，响应及其的差,
1,优化做的太差了，经常卡住，页面缓冲慢,
2,在购物车里点选择一个东西进行结算，实在是太慢了，我真是服了，你们产品经理都不用自己的产品吗？,
4,调料好少，芝麻酱都没有了，香菜也没有了……,
5,蛮好可以的。,
1,iphone xs用口碑超级卡。。。。下个订单小圆圈转半天,
5,顾客的优质选择平台，活动给力，商家多多最爱????,
5,希望再接再厉，把普惠真正落到每一个顾客身上，工作上再严谨一些，把那些上了口碑名单的店、电话必须一致，有的店啊，找了去吃，铁将军把门，电话打打是错号。真正的优惠没有享受到，反而把打卡的红包也丢了。人也很疲累。,
5,希望以后除了双十一外，多些实惠的活动。也希望参加活动的商家也越来越来。,
5,粒上皇板粟只只香甜饱满，又好，超赞，吃了还想吃。口味特别好，有一股甘甜的味道，非常满意，颗粒饱满又有营养。,
5,很好,
1,双十一签到看广告兑换了五元通用红包，到了门槛却不能用，不能用叫什么通用红包？不能用我这几天浪费这些时间干什么？还让我看使用规则，我不兑换怎么看使用规则？这他吗不是耍我玩吗？浪费我时间,
1,在口碑上订的蛋糕比美团贵十几块钱，优惠没有美团好。,
5,不说别的，平民窟女孩的日常快乐就靠它了。嘻嘻。,
1,幸亏提前给饭店打了个电话才知道口碑上的套餐是假的，这不是明摆着欺骗消费者吗？！,
1,用了那么多优惠软件，口碑客服处理问题是最差的，你卷不能用就直接说不能用，店面说产品有问题核销不了，找客服，客服来来回回一堆接电话的，折腾一小时还是解决不了，这样的情况要去大众点评或别家5分钟就给你解决了，你不能用就不要出核销码，这的问题还要我们消费者教吗,
5,最喜欢的小笼和馄饨,
1,不经过我同意直接订单退款，买的订单也无效，呵呵,
5,058按得挺好的环境不错下次还来找058号,
5,鸡排饭非常好，美味佳肴,
5,专业  舒适  服务态度好,
1,买了个德克士手枪腿卷，在店里找了半天无法使用，最后发现是饿了么外卖卷，点了外卖缺无法使用该卷，垃圾的一次购物体验，浪费时间浪费精力,
1,怎么会有这么垃圾的软件 阿里快倒闭吧,
1,搜索出来的商家看着很近。一点进去就看位置就不一样了。实际十几公里，显示三四公里的，商家给你钱来骗点击了吗？垃圾玩意儿,
2,网上付好钱，跑到地方店都没了？？？,
5,服务态度好，热情。环境好,
5,十全九美,
5,未食其味，先闻其香！\n\n浓香入味的秘制大骨头，由独门的酱料和秘制的老汤熬制。文火慢炖，直到每一份犟骨都软糯酥烂，香气四溢...,
3,口碑相比于美团，目前就像是小船遇上大游轮。在价格和生态上都没有优势。只是偶尔几个特价爆品非常吸引人，比美团便宜，这个就是现在口碑能留住我的特点。在市场上，做这样的中介平台，线上客服和价格优势基本上决定了平台的发展。所以，希望口碑在阿里巴巴集团下能茁壮成长。,
5,挺好的小姐姐人很好也很漂亮,
5,15款小龙虾，个个的肉都很紧实，新鲜一级棒！,
4,最近使用口碑，手机网络连接特别慢，半天都打不开订单页面，可能是当地网络信号不太好，不过以前却没有象现在这样这样卡顿！打开支付宝里的口碑也是一样卡顿！,
1,垃圾垃圾,
5,商家多，选择多，价格合理,
2,为什么升级之后不让我用指纹支付了？为什么？？怎么退回老版本？？？,
5,服务很好，我很满意。,
5,以上,
1,"口碑上买券不能消费也就算了，还被商家在街上骂了一顿,客服也是无所谓，本人发誓没有说慌",
1,以后只选免费的东西，亦或货比三家。,
5,太好喝了,
5,好评,
4,方便,
2,iPadpro12.9 2018没有适配 希望尽快适配,
5,优惠多多,
1,很烦 本来想逛逛 点了没有反应 点其他app或者界面就OK 什么垃圾玩意 烦死了,
1,口碑卡，谁买坑谁。买了优惠后的套餐，结果大多数店，根本不承认口碑的券，投诉无门，只能评论了，希望口碑的运营产品能看到,
5,非常好的消费平台,
1,钓鱼动不动就溜走了，,
5,一个鸡蛋肠，一个瘦肉粥才14.4元超划算,
5,很划算，满意,
5,小杨生煎藤椒大虾包非常好吃，汁多肉嫩口味超棒。,
1,我真是醉了，口碑上做活动买的东西，结果告诉我是商家设置错误，同款消费可减三十元，我打个车去都够三十了，骗我下载口碑app还骗我认证学生身份。这波引流做的真好，贼溜啊，反馈口碑客服就告诉我解决不了自己去找商家，我在你平台买的东西出了问题你不负责还要我自己去负责，那我还为什么要消费？我继续提问解决不了就擅自结束对我的客服，口碑客服真厉害是我见过最厉害的了，你们服务态度要是有淘宝一半好也不至于干不过美团了，真给我整吐了,
1,垃圾，下载原因是因为购买新石器烤肉，然后烤肉店欺骗消费者，口碑平台纵容。,
1,地址乱定位，太垃圾了，走错好几次了，地址又不更新，明明在这边，定位那么远，店家搬了地方也不更新一下，服了。,
1,"真心垃圾,第一次买的自助餐,到地方发现关门了,钱是给退了,时间和心情谁来补偿？",
1,口碑出了八块钱优惠价套餐，转而不认账，说用不了，,
5,店铺零食干净、卫生、味道也很好，服务员态度态度超好，非常耐心，给予点赞?? 我每个月都会去这家店。，,
5,牛奶味很浓，也很香！东西很好??????????,
5,nice非常棒。。。。。。。。。很好喝,
5,这么好用的app不下载对不起自己的良心啊，这个app真的对于我们非常的好，买东西非常非常的便宜，下载了就不亏，人人都爱用，人人都喜欢，刚用口碑一时爽，天天用来，天天爽。,
2,网页很卡，打开很慢，很多店没有，需要改善！,
5,汉韵九号温泉度假村酒店,
4,改进下界面设计吧，真的不太好看,
4,你狂吃我想,
1,软件做的太差了软件做的太差了软件做的太差了不好用，不好用。,
5,卫生，就在宋庆龄故居这边，很方便。,
5,之前都是老婆在用口碑，后来自己下载了一个。觉得很不错。,
1,发起投诉商家，客服回访是录音加语音识别，真牛，你爹丁点体验都没有,
1,每次都要纠缠半天，不知道是商家业务不熟练还是系统对接有问题，体验很差,
5,特别好,
1,爸爸出来旅游跟着地图定位找吃的，和实际位置二公里范围内随机跳动,
5,优惠多多，谁用谁知道,
5,榴莲最好吃,
5,合肥几家同庆楼店，这家口味是最好的！贵妃蹄，煮干丝，青菜豆腐，桂花糖藕，碳烤肉都很赞????,
3,外卖平台优质商家较少,
5,东西很好吃.分量也很多,
5,优惠力度大，App设计合理清晰。第一次使用后已推荐了周围朋友。,
3,更新过后付款界面和购物车界面一片空白，想付款都付不了……,
1,千里迢迢过去，结果没有这个店。体验感很差。,
5,菜品不是很多 但都还新鲜,
5,前天开始订单无法提交，直接跳到空白页，以为是版本低了，就去更新，结果还是没用。购物车也是空白页。不清楚为什么。意见反馈两次也没有回复。应该不是我手机问题吧,
1,没想到要以这样的方式，客服处理问题拖沓。系统自带bug还需要消费者去买单。点单选择门店居然和实际提货门店不一致，客服还跟我说让我发送点单的截图照片，试问哪个客户会一边点单一边截图？？？？？对自己系统错误一点都不认可。在线客服回应速度慢，电话客服还要消费者自己承担费用。无语至极。,
1,别人家的电话弄到我的，对我的生活造成困扰，垃圾软件，,
5,吃了好家店，还是觉得西贝的菜最合口味，吃得舒服、有营养，真是不错??,
1,这么喜欢搞文字游戏，鲈鱼只能平时用，搞不起活动就不要搞活动。,
1,软件都出来这么久了，也不出个iPad 的版本，美团早就出了。。。每次在ipad打开，那么大屏幕就显示一小块，好别扭。。。,
1,付了款，用时条形碥基本上不能用，尤其是在永和豆浆店，同样内容用大众点评网买的就能用，不能说是我的网络问题吧。而且不只一次，几乎每次都遇到这个问题！太差！！！,
5,第一次品尝，搞活动时购买的，不知道是否符合口味,
1,蒋凡事件,
2,以前都是有6元红包的，现在变成了2-15元，每次换都是3元，搞笑呢，不给救不给啊，垃圾,
5,便宜一半 很实惠,
1,有的优惠卷，绑定半天，然后不能用～果断卸载,
5,每粒栗子都甜，无发现烂.放心食用的好零食.又可作早餐送牛奶，不上火。,
5,信息多，吃喝玩省心！,
5,应用很好用，搜索速度快，发卷也挺多,
1,买完了东西一定要升级客户端才能用 信号不好 等了好久 太垃圾了 为什么买的时候可以用旧版app 使用的时候强制更新呢,
1,问个问题半天也解决不了，垃圾,
1,别用吧，一点都不保障消费者的权益、里面的店家虚假信息太多、半欺骗手段,
1,我买的必胜客的券，中午买的，到了晚上还在卡券派送中，实在是可恶至极,
5,毕业的玻璃窗，终究还是撞碎了。我们曾一心盼望飞出笼子，却在这一天真正到来的时候，乱了阵脚。,
1,开发者自己有试过吗，刚更新完，一要点进去就闪退,
5,五星级好评哦,
5,已经很多小集美都选择了纹眉那我也不能落后\n现在已经有好多小仙女做了半永久纹眉，我属于比较晚\n的，纹完眉毛（花钱????）很开心，\n想和大家一起分享一下我的\n第一次纹眉经历。福州纹眉\n找一家靠谱的纹眉店现在的纹眉机构鱼龙混杂，一定要\n找一家设备齐全，囗碑好，技术专业的纹眉机构。\n通过上网查资料，朋友的介绍我选择了@韩美绣半永久纹眉品牌连锁店\n这家纹眉，真心不错。靠谱靠谱靠谱！！专业专业专\n业！而且还是全国连锁的。\n客户发出的纹眉照片也是非常自然，于是我心动了，预\n约到店后，看到店里小姐姐做的眉形，还挺好的，当时\n就感觉眉型设计的非常好\n，感觉我对这个效果也是超级满\n意的。\n见了老师之后，跟老师说了一下那个小姐姐纹的眉形，\n想问他是不是和我，然后老师结合了我的想法，\n又为我设计了一款眉型，感觉还挺好看的，然后就决定\n了老师的手法很娴熟，经过麻药麻醉后，不会感觉到疼\n痛。\n总之，非常满意的一次体验呦真的很不错\n福州纹眉福州永久纹眉,
5,价格便宜,
5,晒美食，是对平凡生活的热爱,
5,挖沟流马戏大,
5,人流量大的地方，味道一如既往,
5,包装保温效果很好，妹妹服务周到热心，非常满意！,
1,口碑农场什么鬼，玩不起就不要开，销核二维码压根打不开，最后就是死机，差劲??,
1,也是知道为什么没人用口碑了，手动卸载,
2,改版后，购买好的券字体变小了，特别是在支付宝里，变成了红色的小字体，不戴眼镜都看不清！更脑残的是失去了蓝牙定位功能，以前只要打开口碑APP或者支付宝卡包优惠券，离身边最近的购买过的券会按照距离排列！  现在不单单乱套，甚至不是同一天购买的同一家券，只按照购买的时间顺序排列，如果要全部消费，就要一直滑啊滑，把卡包翻个底朝天！   是那个脑残这样成功的优化退步的？这么明显的差错既然还会推出！,
5,软件十分的强大,
2,农场种植兑换好东西一直无法打开使用，不能显示支付码,
1,一直用口碑，最近一次5/31号更新完打开就闪退。,
1,垃圾一样的，老是崩掉。打都打不开,
1,偷偷改活动规则 恶心人,
5,实惠到位,
2,很多东西都没有 活动力度也不大 一般了,
1,1没有意见反馈入口\n2强烈建议饿了么不推出单独app，直接合并到口碑，要不很多人都不知道口碑存在，人们知道美团中有美团外卖，不知道口碑中有饿了么外卖，原因就是名字差别，口碑料想不到饿了么，饿了么联想不到口碑，这就是差别,
2,1，没有退款订单的选项，无法查看已经取消或者退款的订单\n2，没有账单明细,
5,夏天，这里用上海传统的做法和面条，加点青椒肉丝，花生酱，醋，香油，这凉爽入口舒适惬意，?点小笼汤包增加点蛋白质，老盛昌不断提高口感，不错的选择吃味蕾,
1,界面太复杂，没有美团界面那么简洁明了,
5,农场抽奖连续15把抽不中勺子，想摔手机??,
5,美食app还是需要增加入住店铺数量,
5,品种齐全，力度大。希望加强食品安全监管，让消费者放心购买,
1,过分了绑定完信用卡跟我说优惠券已领完,
5,PK美团。美团让很多商家心堵。又不敢脱离。,
1,口碑和商家的合作能确认好再上架吗？,
5,最赞的是随时退、过期退,
5,干净 卫生,
5,购买券到店用，优惠很多又方便,
5,口碑农场都要有限定道具才能换商品，很坑，基本上换不到的。,
5,吃喝玩乐购先上口碑查看放心,
5,洛杉矶真的很好吃,
5,23元抵30消费，超划算,
5,很实惠方便的app。,
5,很喜欢这家的味道,
1,口碑三天两头改规则也不是一天两天的事情了，现在连卡券包里的红包也可以改，本来是三天过期，被改24小时，本来觉得阿里巴巴的不至于吧，改了就改了，客服还一直不承认，看来中国人的诚信是完全没有，以后任何事都必须截图留证据，从上至下充满欺诈，防不慎防。干脆不给红包要买还是会买，一盘好棋被自己打烂，任何一个连基本诚信都没有的公司，迟早要垮,
1,升级后每次都提示服务器错误！根本用不了！太耽误事了！！！,
4,希望多多推出性价比好的餐食，还有考核好商家卫生服务。,
5,棒,
